Qty,Value,Device,Package,Parts,Description,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,SPICEPREFIX,SUPPLIER
SMT Compoenents,,,,,,,,,,,
3,,LEDCHIPLED_0805,CHIPLED_0805,"LED1, LED2, LED3",LED,,,,,,
8,0,R-US_R0603,R0603,"R155, R156, R157, R158, R159, R160, R161, R162","RESISTOR, American symbol",,,,,R,
24,0.1uF,C-USC0603,C0603,"C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C99, C102, C103, C104, C105, C106, C107, C108, C109, C118, C119, C129, C130, C131","CAPACITOR, American symbol",,,,,C,
32,0.1uF,C-USC0805,C0805,"C4, C7, C10, C15, C19, C22, C25, C26, C30, C33, C36, C37, C41, C44, C47, C48, C52, C54, C58, C59, C63, C66, C69, C70, C74, C77, C80, C81, C110, C113, C116, C117","CAPACITOR, American symbol",,,,,C,
16,0.2,R-US_R4527,R4527,"R11, R28, R34, R47, R53, R66, R72, R85, R91, R104, R110, R123, R129, R147, R153, R169","RESISTOR, American symbol",,,,,R,
1,881070,881070,881,U031,,,,,,,Littlelfuse
7,100,R-US_R0805,R0805,"R000, R137, R138, R139, R140, R172, R184","RESISTOR, American symbol",,,,,100,
16,100pF,C-USC0805,C0805,"C1, C2, C16, C17, C27, C28, C38, C39, C49, C50, C60, C61, C71, C72, C82, C83","CAPACITOR, American symbol",,,,,C,
4,100u,CPOL-USD/7343-31W,D/7343-31W,"C11, C12, C13, C14","POLARIZED CAPACITOR, American symbol",,,,,C,
1,10k,R-US_R0603,R0603,R163,"RESISTOR, American symbol",,,,,R,
48,10k,R-US_R0805,R0805,"R8, R9, R10, R14, R18, R25, R26, R27, R31, R35, R36, R44, R45, R46, R50, R54, R55, R63, R64, R65, R69, R73, R74, R82, R83, R84, R88, R92, R93, R101, R102, R103, R107, R111, R112, R120, R121, R122, R126, R130, R131, R150, R151, R152, R164, R166, R170, R171","RESISTOR, American symbol",,,,,R,
37,10uF,C-USC1206,C1206,"C5, C6, C8, C9, C20, C21, C23, C24, C31, C32, C34, C35, C42, C43, C45, C46, C53, C55, C56, C57, C64, C65, C67, C68, C75, C76, C78, C79, C95, C96, C98, C100, C101, C111, C112, C114, C115","CAPACITOR, American symbol",,,,,C,
7,1N4148,1N4148,1N4148,"U040, U041, U042, U043, U044, U045, U046",,,,,,,
1,1n,C-USC0805,C0805,C3,"CAPACITOR, American symbol",,,,,1n,
7,1n,C-USC0805,C0805,"C18, C29, C40, C51, C62, C73, C84","CAPACITOR, American symbol",,,,,C,
1,1uF,C-USC0603,C0603,C97,"CAPACITOR, American symbol",,,,,C,
8,220p,C-USC0805,C0805,"C120, C121, C122, C123, C124, C125, C126, C127","CAPACITOR, American symbol",,,,,C,
8,22k,R-US_R0805,R0805,"R3, R20, R39, R58, R77, R96, R115, R134","RESISTOR, American symbol",,,,,R,
8,2Meg,R-US_R0805,R0805,"R185, R186, R187, R188, R189, R190, R191, R192","RESISTOR, American symbol",,,,,R,
35,2k,R-US_R0805,R0805,"R13, R15, R16, R30, R32, R33, R49, R51, R52, R68, R70, R71, R87, R89, R90, R106, R108, R109, R125, R127, R128, R141, R145, R146, R165, R167, R168, R12, R29, R48, R67, R86, R105, R124, R154","RESISTOR, American symbol",,,,,R,
14,330,R-US_R0805,R0805,"R142, R143, R144, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R183","RESISTOR, American symbol",,,,,330,
16,5.1k,R-US_R0805,R0805,"R2, R19, R38, R57, R76, R95, R114, R133, R5, R22, R41, R60, R79, R98, R117, R136","RESISTOR, American symbol",,,,,R,
16,51.1k,R-US_R0805,R0805,"R1, R4, R17, R21, R37, R40, R56, R59, R75, R78, R94, R97, R113, R116, R132, R135","RESISTOR, American symbol",,,,,R,
16,68.1k,R-US_R0805,R0805,"R6, R7, R23, R24, R42, R43, R61, R62, R80, R81, R99, R100, R118, R119, R148, R149","RESISTOR, American symbol",,,,,R,
1,7400D,7400D,SO14,IC3,Quad 2-input NAND gate,,,,,,
1,74LS138D,74LS138D,SO16,IC4,3-line to 8-line DECODER/DEMULTIPLEXER,,,,,,
1,74LS240DW,74LS240DW,SO20W,IC6,"Octal BUFFER and LINE DRIVER, 3-state",,,,,,
1,74LS279D,74LS279D,SO16,IC2,Quadruple S-R LATCH,,,,,,
1,ACSL-6400,ACSL-6400,ACSL-SO16,U025,Quad-Channel All-in-One Optocoupler,,,,,,
1,ACSL-6420,ACSL-6420,ACSL-SO16,U026,Quad-Channel Bi-Directional Optocoupler,,,,,,
3,65LVDS34,65LVDS34,SO08-1,"U001, U021, U030",,,,,,,
1,65LVDS9638,65LVDS9638,SO08-1,U011,,,,,,,
8,INA170EA/250,INA170EA/250,SOP65P490X110-8N,"U2, U3, U6, U8, U13, U15, U17, U19",Bidirectional CURRENT SHUNT MONITOR,INA170EA/250,-,74C9833,MSOP-8,,Texas Instruments
1,LINEAR_7805DT,LINEAR_7805DT,LINEAR_TO252,IC1,Positive VOLTAGE REGULATOR,,,,,,
1,LMV321M5,LMV321M5,SOT23-5,IC5,"General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers",,,,,,
1,LTC1863CGNPBF,LTC1863CGNPBF,SOP63P600X175-16N,U10,ADC,LTC1863CGN#PBF,1503394,56M4074,SSOP-16,,Linear Technology
1,LTC2656BCFE-L16PBF,LTC2656BCFE-L16PBF,SOP65P640X120-21N,U9,Octal DACs with 10ppm/Â°C Max Reference,LTC2656BCFE-H16#PBF,-,28R7619,TSSOP-20,,Linear Technology
8,OPA2340EA/250,OPA2340EA/250,SOP65P490X110-8N,"U4, U5, U7, U12, U14, U16, U18, U20",OPERATIONAL AMPLIFIERS,OPA2340EA/250,1101540,36K7580,MSOP-8,,Texas Instruments
,,,,,,,,,,,
,,,,,,,,,,,
Through Hole Components,,,,,,,,,,,
8,39-30-02?_S,39-30-02?_S,39-30-?02?,"P1, P2, P3, P4, P5, P6, P7, P8",HEADER,,,,,,Molex Mini Fit Jr. 
1,39-30-10?_S,39-30-10?_S,39-30-?10?,P9,HEADER,,,,,,Molex Mini Fit Jr. 
16,OPA549_HS677NOHS,OPA549_HS677NOHS,OPA549,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16",TI OPA549 with Wakefield Series 677 heat sink in the dimensions.,,,,,,
2,RJ45V,RJ45V,RJ45-VERTICAL,"X002, X003",,,,,,,